iter	Passed	Remaining
0	204	306144
1	297	222716
2	394	196813
3	505	188999
4	645	193101
5	799	198989
6	926	197701
7	1289	240402
8	1490	246940
9	1573	234406
10	1660	224759
11	1757	217953
12	1887	215865
13	1996	211926
14	2096	207523
15	2260	209686
16	2406	209905
17	2534	208707
18	2649	206550
19	2725	201719
20	2826	199032
21	2964	199168
22	3077	197626
23	3178	195498
24	3271	193019
25	3409	193272
26	3544	193361
27	3655	192189
28	3754	190431
29	3889	190561
30	3984	188812
31	4107	188432
32	4205	186947
33	4406	190007
34	4546	190297
35	4640	188719
36	4719	186611
37	4817	185338
38	4919	184300
39	5021	183288
40	5203	185163
41	5412	187887
42	5519	187037
43	5616	185858
44	5721	184980
45	5822	184054
46	5924	183167
47	6067	183542
48	6185	183179
49	6280	182124
50	6398	181798
51	6514	181413
52	6742	184071
53	6848	183382
54	6954	182701
55	7036	181445
56	7148	180964
57	7271	180776
58	7374	180103
59	7485	179647
60	7589	179038
61	7712	178870
62	7822	178420
63	7938	178109
64	8057	177894
65	8158	177260
66	8276	177008
67	8375	176383
68	8487	176024
69	8669	177108
70	8883	178802
71	9178	182043
72	9481	185334
73	9696	186859
74	9804	186292
75	9949	186424
76	10024	185265
77	10135	184781
78	10251	184403
79	10335	183449
80	10438	182863
81	10557	182574
82	10659	181977
83	10863	183123
84	11021	183483
85	11112	182713
86	11198	181879
87	11311	181490
88	11415	180983
89	11549	180947
90	11730	181635
91	11873	181719
92	12005	181628
93	12100	180985
94	12259	181304
95	12345	180551
96	12450	180080
97	12548	179517
98	12640	178883
99	12788	179040
100	12909	178819
101	13026	178544
102	13109	177805
103	13225	177525
104	13355	177431
105	13436	176706
106	13537	176246
107	13697	176546
108	13808	176213
109	13948	176257
110	14036	175652
111	14181	175753
112	14489	177846
113	14663	178271
114	14839	178716
115	14948	178349
116	15046	177853
117	15156	177515
118	15249	176973
119	15363	176685
120	15538	177090
121	15689	177218
122	15845	177387
123	16060	178216
124	16258	178840
125	16349	178282
126	16458	177935
127	16563	177535
128	16662	177088
129	16765	176684
130	16867	176272
131	16977	175949
132	17121	175980
133	17305	176416
134	17429	176230
135	17548	176001
136	17691	176012
137	17788	175567
138	17931	175577
139	18033	175180
140	18127	174721
141	18222	174271
142	18338	174025
143	18519	174392
144	18623	174038
145	18743	173826
146	18906	174021
147	19019	173748
148	19161	173742
149	19305	173747
150	19454	173800
151	19667	174422
152	19749	173871
153	19849	173486
154	19947	173092
155	20060	172826
156	20165	172502
157	20295	172379
158	20397	172033
159	20476	171490
160	20617	171474
161	20749	171379
162	20865	171147
163	20998	171057
164	21106	170773
165	21225	170570
166	21337	170314
167	21412	169772
168	21528	169552
169	21621	169157
170	21742	168981
171	21834	168581
172	21955	168410
173	22073	168213
174	22169	167851
175	22289	167674
176	22384	167312
177	22482	166977
178	22597	166767
179	22691	166407
180	22897	166858
181	23055	166962
182	23163	166704
183	23313	166743
184	23437	166595
185	23587	166630
186	23670	166198
187	23768	165870
188	23958	166185
189	24092	166113
190	24211	165932
191	24340	165821
192	24436	165487
193	24559	165335
194	24712	165386
195	24840	165266
196	24988	165281
197	25126	165227
198	25235	164984
199	25347	164757
200	25446	164454
201	25545	164149
202	25658	163936
203	25836	164136
204	26027	164418
205	26162	164340
206	26278	164144
207	26387	163905
208	26476	163545
209	26584	163302
210	26716	163209
211	26812	162900
212	26920	162661
213	27054	162578
214	27226	162728
215	27346	162562
216	27453	162314
217	27551	162025
218	27666	161827
219	27782	161642
220	27904	161492
221	28023	161326
222	28129	161084
223	28234	160836
224	28337	160577
225	28438	160312
226	28587	160318
227	28722	160240
228	28814	159927
229	28990	160078
230	29189	160352
231	29355	160445
232	29493	160379
233	29603	160163
234	29735	160067
235	29861	159934
236	29968	159707
237	30112	159671
238	30200	159342
239	30278	158960
240	30379	158702
241	30492	158512
242	30584	158209
243	30677	157914
244	30767	157604
245	30861	157320
246	30970	157108
247	31084	156924
248	31181	156660
249	31283	156417
250	31394	156222
251	31490	155953
252	31667	156086
253	31805	156020
254	31900	155749
255	31999	155496
256	32115	155329
257	32221	155111
258	32318	154855
259	32445	154738
260	32549	154516
261	32642	154239
262	32775	154155
263	32905	154057
264	33009	153838
265	33117	153634
266	33200	153321
267	33293	153051
268	33424	152955
269	33538	152787
270	33625	152491
271	33729	152277
272	33897	152352
273	33999	152130
274	34167	152200
275	34304	152131
276	34422	151982
277	34554	151892
278	34703	151873
279	34832	151770
280	34932	151537
281	35034	151319
282	35143	151129
283	35223	150817
284	35322	150585
285	35441	150442
286	35530	150168
287	35642	149997
288	35737	149749
289	35838	149531
290	35981	149488
291	36169	149631
292	36369	149820
293	36480	149644
294	36573	149392
295	36648	149070
296	36735	148797
297	36860	148680
298	36957	148449
299	37048	148192
300	37159	148019
301	37256	147794
302	37348	147545
303	37449	147333
304	37576	147227
305	37686	147051
306	37797	146881
307	37916	146741
308	38020	146543
309	38139	146406
310	38287	146378
311	38391	146183
312	38503	146016
313	38620	145873
314	38715	145644
315	38840	145527
316	38928	145274
317	39039	145108
318	39163	144991
319	39294	144896
320	39427	144812
321	39514	144559
322	39630	144412
323	39746	144263
324	39914	144305
325	40037	144184
326	40159	144059
327	40293	143976
328	40451	143979
329	40597	143936
330	40702	143750
331	40815	143591
332	40909	143367
333	41054	143323
334	41168	143167
335	41244	142881
336	41353	142714
337	41456	142522
338	41575	142385
339	41713	142316
340	41823	142150
341	41901	141875
342	42013	141718
343	42089	141441
344	42205	141296
345	42305	141099
346	42409	140916
347	42512	140731
348	42703	140835
349	42785	140581
350	42882	140374
351	42994	140221
352	43135	140158
353	43241	139986
354	43328	139750
355	43426	139550
356	43536	139391
357	43669	139302
358	43758	139074
359	43843	138836
360	43947	138658
361	44064	138522
362	44166	138340
363	44279	138191
364	44385	138021
365	44550	138033
366	44664	137887
367	44818	137866
368	44963	137815
369	45052	137591
370	45156	137416
371	45252	137217
372	45423	137246
373	45527	137070
374	45674	137024
375	45769	136820
376	45907	136749
377	46018	136594
378	46121	136416
379	46232	136263
380	46328	136067
381	46579	136322
382	46754	136355
383	46862	136192
384	46988	136084
385	47143	136056
386	47248	135885
387	47340	135678
388	47438	135485
389	47540	135307
390	47626	135083
391	47763	135005
392	47854	134797
393	47933	134553
394	48039	134388
395	48138	134203
396	48232	134007
397	48309	133760
398	48384	133511
399	48499	133372
400	48607	133217
401	48743	133134
402	48835	132935
403	48940	132768
404	49050	132618
405	49209	132598
406	49344	132513
407	49443	132334
408	49599	132305
409	49690	132105
410	49833	132040
411	49980	131987
412	50118	131910
413	50178	131628
414	50287	131475
415	50402	131338
416	50496	131144
417	50580	130928
418	50684	130762
419	50799	130627
420	50959	130607
421	51085	130498
422	51227	130430
423	51343	130296
424	51529	130339
425	51642	130196
426	51747	130034
427	51850	129868
428	51959	129716
429	52050	129521
430	52164	129382
431	52286	129263
432	52389	129099
433	52506	128967
434	52603	128788
435	52694	128594
436	52796	128427
437	52940	128362
438	53147	128450
439	53344	128512
440	53464	128386
441	53603	128308
442	53747	128241
443	53842	128058
444	53927	127851
445	54042	127715
446	54150	127563
447	54249	127389
448	54355	127232
449	54460	127073
450	54596	126987
451	54743	126927
452	54873	126826
453	54968	126646
454	55117	126588
455	55229	126445
456	55314	126242
457	55428	126105
458	55546	125978
459	55688	125903
460	55821	125810
461	55960	125728
462	56071	125585
463	56157	125386
464	56263	125231
465	56397	125140
466	56544	125076
467	56640	124900
468	56799	124861
469	57062	125052
470	57162	124883
471	57257	124704
472	57353	124528
473	57466	124390
474	57591	124277
475	57680	124085
476	57786	123932
477	57881	123754
478	58038	123710
479	58144	123556
480	58208	123315
481	58318	123169
482	58409	122985
483	58507	122817
484	58618	122676
485	58737	122550
486	58842	122397
487	58929	122207
488	59043	122071
489	59162	121947
490	59262	121783
491	59357	121610
492	59476	121486
493	59568	121307
494	59685	121180
495	59868	121186
496	59999	121085
497	60182	121090
498	60329	121022
499	60457	120915
500	60553	120745
501	60648	120572
502	60745	120404
503	60863	120277
504	60979	120147
505	61125	120076
506	61254	119972
507	61392	119884
508	61496	119730
509	61599	119575
510	61689	119394
511	61791	119237
512	61901	119097
513	62047	119025
514	62252	119065
515	62361	118921
516	62594	119013
517	62696	118856
518	62804	118711
519	62921	118583
520	63047	118470
521	63182	118376
522	63317	118280
523	63420	118127
524	63536	117995
525	63644	117850
526	63756	117713
527	63850	117542
528	63979	117437
529	64096	117308
530	64204	117164
531	64299	116996
532	64415	116865
533	64545	116761
534	64732	116760
535	64904	116731
536	65002	116568
537	65112	116428
538	65283	116395
539	65390	116250
540	65501	116111
541	65591	115934
542	65696	115786
543	65802	115638
544	65910	115494
545	66061	115426
546	66150	115248
547	66233	115062
548	66365	114960
549	66465	114803
550	66580	114672
551	66681	114518
552	66875	114522
553	66999	114406
554	67174	114378
555	67319	114298
556	67463	114215
557	67558	114050
558	67674	113920
559	67777	113769
560	67871	113603
561	68019	113526
562	68115	113365
563	68254	113273
564	68368	113141
565	68460	112971
566	68571	112835
567	68657	112656
568	68753	112495
569	68864	112357
570	68984	112235
571	69134	112161
572	69228	111998
573	69331	111848
574	69432	111695
575	69538	111551
576	69625	111376
577	69727	111226
578	69844	111099
579	70000	111035
580	70132	110932
581	70278	110852
582	70377	110696
583	70477	110543
584	70582	110398
585	70717	110299
586	70830	110167
587	70926	110007
588	71057	109903
589	71311	109988
590	71453	109900
591	71550	109742
592	71635	109567
593	71753	109442
594	71864	109306
595	71963	109153
596	72057	108991
597	72156	108837
598	72262	108696
599	72366	108549
600	72484	108425
601	72585	108275
602	72675	108109
603	72779	107964
604	72884	107820
605	72998	107690
