Feature,Importance
geo_hour_mean_demand,57.982327494450175
roadtype_mean_demand,14.278031283169017
geo_mean_demand,6.453425879030328
RoadType,4.267687680849276
geo_hour,3.963232297049635
Index,3.8990433315401467
time_slot,1.2735863353641284
day,0.9245220615686427
geohash,0.8610474769930938
hour_sin,0.843307193378111
geo5,0.7173507279053163
minute,0.6446843132074216
geo4,0.6152758273738345
lon,0.5772491460366033
hour,0.5639907145064359
lat,0.5278433819120454
NumberofLanes,0.48371341849178306
hour_cos,0.3760640615129307
Temperature,0.3720708690691205
Weather,0.17935754442727866
LargeVehicles,0.06498772777598712
Landmarks,0.04859174979947713
is_evening_rush,0.03105824156484198
is_night,0.020350384054070754
is_morning_rush,0.02007719999863904
is_peak,0.011123658971625561
geo3,0.0
